"AREA_CODE","AREA_NAME","COMPONENT","SEX","AGE_GROUP","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047"
E38000240,NHS North Central London ICB - 93C,Population,persons,40,21193.000,21065.820,21033.211,21954.277,21458.855,21412.837,21374.467,21502.946,21579.285,21404.693,21406.188,21213.231,21684.002,21801.508,21956.312,22357.063,22208.942,22324.927,22206.199,22090.323,22229.310,22632.607,23167.792,23136.104,23014.258,23301.861
E38000240,NHS North Central London ICB - 93C,Population,persons,41,21493.000,21195.832,20953.497,20700.853,21516.419,21058.416,21044.515,21052.797,21183.750,21263.058,21101.746,21103.446,20913.927,21372.030,21482.035,21632.455,22025.684,21881.474,21992.042,21871.078,21755.971,21890.520,22283.148,22806.429,22777.008,22659.188
E38000240,NHS North Central London ICB - 93C,Population,persons,42,21337.000,21452.584,21075.727,20634.955,20346.904,21120.921,20719.479,20737.085,20770.928,20894.671,20976.583,20826.225,20828.154,20641.575,21088.299,21191.118,21337.424,21724.109,21583.363,21689.056,21565.897,21451.453,21582.077,21965.373,22478.354,22451.054
E38000240,NHS North Central London ICB - 93C,Population,persons,43,20806.000,21301.096,21319.220,20782.115,20309.703,20036.550,20797.676,20448.069,20478.536,20526.392,20645.127,20730.014,20589.487,20591.320,20407.454,20844.356,20941.194,21083.803,21464.879,21327.230,21428.816,21303.914,21190.131,21317.307,21692.501,22196.543
E38000240,NHS North Central London ICB - 93C,Population,persons,44,19781.000,20750.383,21165.620,21018.458,20465.313,20006.271,19766.265,20518.644,20200.527,20234.972,20295.026,20407.949,20495.229,20362.981,20364.838,20183.518,20611.020,20702.101,20841.134,21217.048,21082.045,21179.960,21053.297,20940.036,21064.073,21431.633
E38000240,NHS North Central London ICB - 93C,Population,persons,45,18943.000,19697.723,20562.551,20837.795,20658.779,20127.970,19700.267,19493.558,20224.975,19927.241,19965.005,20035.204,20143.047,20232.328,20107.078,20109.048,19930.485,20349.225,20435.153,20571.128,20941.913,20809.593,20904.155,20776.655,20664.460,20785.615
E38000240,NHS North Central London ICB - 93C,Population,persons,46,18753.000,18918.990,19578.746,20288.186,20541.481,20365.567,19870.231,19471.233,19282.987,19990.626,19710.447,19751.256,19830.279,19934.210,20025.795,19907.375,19909.222,19733.057,20144.367,20225.833,20359.178,20725.678,20595.724,20687.873,20559.621,20448.138
E38000240,NHS North Central London ICB - 93C,Population,persons,47,19078.000,18758.402,18853.593,19366.862,20032.891,20296.747,20137.922,19675.634,19292.891,19115.691,19802.865,19538.494,19581.730,19669.257,19769.656,19863.646,19751.139,19752.894,19578.704,19983.685,20061.140,20191.961,20554.987,20427.079,20516.994,20388.026
E38000240,NHS North Central London ICB - 93C,Population,persons,48,18609.000,19028.671,18664.554,18637.834,19108.339,19764.012,20047.432,19908.675,19467.894,19096.900,18929.531,19597.440,19348.353,19394.069,19489.569,19586.633,19682.524,19575.690,19577.575,19405.505,19803.761,19877.174,20005.380,20364.721,20239.091,20326.637
E38000240,NHS North Central London ICB - 93C,Population,persons,49,18652.000,18543.150,18896.500,18443.484,18389.870,18847.407,19504.185,19808.679,19679.259,19253.146,18893.463,18735.413,19385.847,19151.011,19199.052,19301.699,19395.628,19493.445,19391.806,19393.966,19223.911,19615.435,19685.187,19810.872,20166.576,20043.199
E38000240,NHS North Central London ICB - 93C,Population,persons,50,18530.000,18530.643,18375.437,18629.085,18170.877,18116.656,18570.636,19229.445,19544.458,19418.689,19005.748,18656.084,18506.544,19140.306,18917.642,18967.767,19076.147,19167.378,19266.388,19169.788,19172.322,19004.795,19389.888,19456.728,19580.226,19931.761
E38000240,NHS North Central London ICB - 93C,Population,persons,51,19016.000,18417.691,18369.228,18131.472,18357.028,17912.404,17868.425,18321.953,18976.355,19295.948,19172.840,18772.069,18432.689,18290.952,18909.597,18698.310,18750.212,18863.933,18952.767,19053.199,18961.299,18963.966,18798.774,19178.144,19242.340,19363.846
E38000240,NHS North Central London ICB - 93C,Population,persons,52,18519.000,18881.408,18261.115,18132.275,17879.421,18098.880,17676.733,17643.540,18088.900,18735.736,19060.304,18939.531,18550.073,18220.565,18086.493,18690.902,18490.486,18544.224,18662.967,18749.573,18851.571,18764.174,18767.133,18604.090,18977.996,19039.745
E38000240,NHS North Central London ICB - 93C,Population,persons,53,18292.000,18371.258,18681.051,18007.576,17856.265,17606.899,17830.623,17432.952,17403.645,17838.188,18478.311,18806.017,18687.913,18310.107,17990.532,17863.249,18454.647,18264.638,18319.959,18443.623,18528.148,18631.710,18548.866,18552.129,18391.348,18759.917
E38000240,NHS North Central London ICB - 93C,Population,persons,54,18054.000,18137.708,18170.554,18402.330,17730.942,17576.852,17341.173,17570.038,17188.745,17159.925,17583.707,18217.019,18547.851,18432.002,18065.318,17755.341,17634.606,18213.679,18033.083,18089.768,18217.825,18300.427,18405.379,18326.924,18330.264,18171.829
E38000240,NHS North Central London ICB - 93C,Population,persons,55,17407.000,17871.650,17919.225,17881.768,18088.490,17434.647,17287.723,17067.533,17295.353,16926.554,16897.815,17310.960,17935.079,18267.295,18154.100,17798.108,17497.706,17383.076,17948.923,17777.349,17834.794,17965.897,18046.755,18152.399,18077.573,18081.123
E38000240,NHS North Central London ICB - 93C,Population,persons,56,17930.000,17211.896,17631.559,17618.957,17562.896,17762.444,17133.292,16995.411,16783.155,17006.999,16650.727,16622.426,17026.171,17642.469,17975.103,17864.814,17519.379,17228.789,17120.183,17673.930,17510.861,17569.272,17703.577,17782.661,17889.151,17817.982
E38000240,NHS North Central London ICB - 93C,Population,persons,57,17230.000,17716.924,16995.688,17350.103,17328.670,17268.648,17466.777,16861.566,16725.891,16519.358,16738.564,16393.003,16364.562,16758.419,17366.671,17700.597,17593.103,17256.850,16975.205,16872.609,17414.614,17259.557,17319.091,17456.327,17534.229,17641.572
E38000240,NHS North Central London ICB - 93C,Population,persons,58,16774.000,17014.002,17450.878,16708.383,17043.513,17023.404,16965.661,17163.205,16576.941,16441.416,16239.822,16454.304,16119.900,16091.677,16476.030,17076.529,17411.097,17306.420,16979.753,16707.586,16610.488,17140.920,16993.932,17054.240,17194.154,17270.792
E38000240,NHS North Central London ICB - 93C,Population,persons,59,16003.000,16561.149,16775.237,17151.412,16426.297,16752.876,16738.337,16684.414,16877.550,16307.498,16172.123,15974.934,16185.030,15861.172,15833.476,16209.154,16802.171,17136.815,17035.008,16717.685,16454.256,16362.175,16881.846,16742.382,16803.541,16945.711
E38000240,NHS North Central London ICB - 93C,Population,persons,60,14899.000,15753.659,16275.984,16441.478,16793.108,16096.199,16416.112,16408.702,16355.141,16541.865,15987.829,15853.682,15661.774,15868.097,15555.243,15528.085,15894.709,16478.341,16811.009,16712.002,16404.492,16150.128,16063.016,16571.039,16438.507,16500.099
E38000240,NHS North Central London ICB - 93C,Population,persons,61,14283.000,14666.488,15481.244,15951.539,16107.937,16443.122,15774.449,16091.473,16088.360,16032.643,16212.973,15675.004,15542.392,15355.593,15557.363,15254.753,15228.154,15585.955,16159.854,16490.664,16394.914,16096.988,15850.933,15767.887,16264.746,16138.858
E38000240,NHS North Central London ICB - 93C,Population,persons,62,14105.000,14078.077,14432.281,15188.918,15641.099,15796.602,16123.284,15481.338,15792.615,15791.558,15734.438,15908.763,15386.116,15255.616,15073.092,15271.083,14978.542,14952.776,15302.986,15868.590,16197.799,16105.016,15816.386,15578.388,15499.344,15986.117
E38000240,NHS North Central London ICB - 93C,Population,persons,63,12942.000,13844.071,13811.250,14127.398,14854.232,15296.024,15453.297,15771.199,15153.893,15457.257,15458.207,15399.646,15568.929,15062.085,14933.859,14756.438,14950.774,14668.342,14643.547,14985.993,15542.533,15869.161,15778.899,15500.048,15270.574,15195.434
E38000240,NHS North Central London ICB - 93C,Population,persons,64,12375.000,12709.026,13570.044,13507.931,13810.395,14518.877,14954.475,15114.715,15418.503,14824.764,15120.471,15123.517,15063.943,15228.801,14736.372,14611.144,14439.100,14629.921,14357.465,14333.981,14668.870,15216.255,15539.371,15452.401,15182.689,14962.103
E38000240,NHS North Central London ICB - 93C,Population,persons,65,11471.000,12125.716,12440.240,13248.045,13187.228,13485.426,14176.639,14603.956,14764.860,15055.600,14484.067,14772.119,14776.796,14716.790,14877.855,14399.836,14277.398,14110.672,14298.234,14035.592,14013.464,14341.204,14878.603,15198.097,15114.358,14854.003
E38000240,NHS North Central London ICB - 93C,Population,persons,66,11023.000,11229.922,11852.376,12136.208,12915.109,12861.897,13157.897,13831.080,14248.785,14408.382,14687.438,14139.113,14418.696,14425.018,14365.067,14521.570,14058.691,13939.108,13778.099,13961.956,13708.638,13687.666,14007.351,14534.337,14849.768,14769.801
E38000240,NHS North Central London ICB - 93C,Population,persons,67,10367.000,10794.351,10990.645,11568.399,11845.029,12603.785,12560.715,12854.516,13509.094,13916.373,14076.606,14343.794,13815.994,14088.117,14095.810,14036.499,14189.215,13739.575,13622.821,13466.854,13647.954,13403.735,13384.179,13696.906,14214.816,14526.677
E38000240,NHS North Central London ICB - 93C,Population,persons,68,9764.000,10153.119,10563.368,10737.272,11297.531,11570.688,12311.839,12278.129,12567.277,13204.712,13601.707,13761.864,14019.000,13510.330,13776.341,13784.967,13726.670,13875.826,13439.265,13325.322,13174.074,13352.402,13116.982,13098.668,13405.194,13914.853
E38000240,NHS North Central London ICB - 93C,Population,persons,69,9516.000,9564.522,9933.704,10317.165,10486.724,11034.817,11305.187,12026.968,12001.281,12284.343,12905.050,13292.332,13451.366,13698.701,13208.627,13469.418,13479.249,13422.181,13567.674,13145.080,13034.339,12887.620,13062.891,12836.204,12819.492,13120.073
E38000240,NHS North Central London ICB - 93C,Population,persons,70,9148.000,9273.951,9319.047,9659.904,10038.427,10205.068,10738.039,11006.915,11708.122,11689.951,11967.163,12569.666,12947.326,13105.354,13343.651,12872.253,13126.756,13138.710,13083.363,13225.802,12816.754,12709.555,12568.074,12740.250,12522.009,12506.945
E38000240,NHS North Central London ICB - 93C,Population,persons,71,8839.000,8919.372,9040.189,9073.919,9402.299,9775.291,9941.292,10462.251,10728.141,11408.800,11396.633,11669.214,12254.244,12622.678,12779.617,13009.798,12555.949,12805.663,12819.111,12765.557,12904.749,12509.589,12405.330,12268.816,12438.336,12228.562
E38000240,NHS North Central London ICB - 93C,Population,persons,72,8829.000,8615.140,8683.754,8788.184,8822.637,9142.843,9511.465,9676.831,10184.373,10446.655,11107.097,11101.001,11368.126,11936.842,12296.505,12452.110,12674.385,12237.868,12482.457,12498.079,12446.530,12583.031,12201.146,12100.298,11969.008,12135.824
E38000240,NHS North Central London ICB - 93C,Population,persons,73,8605.000,8591.453,8384.845,8435.545,8538.448,8576.700,8889.357,9249.938,9414.976,9909.362,10167.080,10808.186,10807.722,11069.342,11622.054,11973.320,12127.737,12342.702,11923.455,12163.453,12180.617,12131.275,12264.906,11896.780,11799.532,11672.831
E38000240,NHS North Central London ICB - 93C,Population,persons,74,8528.000,8367.656,8346.818,8134.550,8182.716,8288.297,8329.155,8631.984,8984.991,9150.309,9631.389,9884.407,10504.945,10511.620,10766.895,11303.896,11646.985,11800.209,12007.396,11605.339,11840.408,11860.337,11813.231,11944.751,11589.385,11496.150
E38000240,NHS North Central London ICB - 93C,Population,persons,75,8687.000,8270.351,8117.096,8088.455,7885.322,7936.581,8035.771,8080.167,8375.168,8720.378,8883.806,9351.016,9599.636,10201.215,10212.639,10462.301,10983.877,11318.581,11470.332,11671.466,11286.343,11516.392,11538.011,11494.075,11622.188,11280.506
E38000240,NHS North Central London ICB - 93C,Population,persons,76,7201.000,8409.874,8012.177,7859.003,7828.450,7638.944,7686.083,7783.817,7830.833,8117.883,8453.976,8615.853,9069.831,9314.158,9896.924,9912.844,10156.435,10664.117,10990.157,11141.504,11335.604,10967.017,11192.945,11215.746,11175.042,11300.125
E38000240,NHS North Central London ICB - 93C,Population,persons,77,6709.000,6964.262,8137.601,7757.539,7612.923,7583.766,7398.622,7445.602,7541.992,7591.664,7870.286,8196.865,8357.361,8798.394,9038.874,9603.671,9623.554,9863.113,10356.085,10673.763,10824.682,11013.569,10660.511,10882.311,10906.743,10869.213
E38000240,NHS North Central London ICB - 93C,Population,persons,78,6599.000,6446.971,6701.267,7826.869,7469.196,7337.817,7303.987,7129.170,7174.752,7269.397,7320.415,7589.481,7906.157,8064.380,8491.278,8726.516,9271.114,9295.765,9529.935,10006.763,10315.382,10465.471,10649.040,10313.120,10529.789,10556.445
E38000240,NHS North Central London ICB - 93C,Population,persons,79,5755.000,6327.863,6192.675,6436.402,7520.841,7189.925,7061.024,7028.266,6863.152,6906.799,6999.180,7051.169,7311.813,7618.022,7774.454,8187.192,8416.812,8941.812,8970.470,9198.949,9660.179,9960.226,10108.923,10286.921,9968.312,10180.861
E38000240,NHS North Central London ICB - 93C,Population,persons,80,5141.000,5489.414,6039.494,5911.598,6157.356,7194.942,6882.884,6762.587,6731.012,6576.596,6617.907,6707.144,6760.612,7011.863,7307.251,7461.165,7858.942,8082.786,8587.427,8620.122,8842.033,9287.291,9578.200,9725.182,9897.495,9596.640
E38000240,NHS North Central London ICB - 93C,Population,persons,81,4612.000,4884.581,5219.516,5737.902,5628.266,5871.737,6856.480,6568.929,6455.550,6425.388,6280.343,6319.086,6405.360,6460.528,6701.924,6985.478,7136.556,7518.856,7736.887,8220.052,8256.601,8471.542,8900.333,9181.606,9326.903,9493.658
E38000240,NHS North Central London ICB - 93C,Population,persons,82,4764.000,4343.843,4603.581,4916.095,5412.272,5318.373,5553.260,6484.637,6217.739,6116.091,6087.170,5951.873,5987.982,6071.118,6127.302,6358.114,6628.549,6776.071,7141.121,7351.607,7812.004,7851.446,8058.051,8468.987,8739.708,8882.326
E38000240,NHS North Central London ICB - 93C,Population,persons,83,4459.000,4455.074,4071.287,4309.957,4613.664,5078.446,4999.623,5224.911,6102.521,5859.597,5766.069,5738.687,5613.628,5648.274,5728.198,5785.193,6004.973,6261.879,6405.122,6752.499,6955.867,7392.950,7434.840,7634.466,8026.549,8285.677
E38000240,NHS North Central London ICB - 93C,Population,persons,84,4170.000,4151.689,4148.599,3787.854,4014.259,4308.222,4742.464,4675.985,4889.764,5712.502,5496.832,5410.546,5384.695,5269.549,5303.831,5380.320,5437.925,5646.994,5889.760,6029.030,6357.840,6554.177,6967.820,7012.072,7204.129,7577.356
